City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ardakan,IR,82.78,clear sky,32.31,54.0175,Ardakan Hotel
4,Gizo,SB,83.62,light rain,-8.103,156.8419,Imagination Island
6,Santa Rosa,PH,81.91,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
8,Vanimo,PG,86.25,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
11,Balikpapan,ID,83.39,scattered clouds,-1.2675,116.8289,ibis Balikpapan
13,Florence,IT,75.54,clear sky,43.7667,11.25,Italiana Hotels Florence
20,Bethel,US,77.31,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
21,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
23,Manokwari,ID,84.04,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
24,Khowst,AF,80.65,overcast clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
28,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
30,Butaritari,KI,81.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
31,Kavaratti,IN,81.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
36,Cairns,AU,81.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
48,Lompoc,US,76.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
49,Khatanga,RU,83.93,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
51,Srivardhan,IN,80.51,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
53,Tura,IN,79.7,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
57,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Daru,PG,77.05,overcast clouds,-9.0763,143.2092,Daru Lodge
61,Hilo,US,80.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Pumiao,CN,82.8,overcast clouds,22.75,108.4833,Mushang Boutique Hotel
68,Kashi,CN,83.41,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
73,Atuona,PF,78.01,clear sky,-9.8,-139.0333,Villa Enata
74,Yerbogachen,RU,82.08,clear sky,61.2767,108.0108,
82,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
83,Pacific Grove,US,85.44,scattered clouds,36.6177,-121.9166,Lovers Point Inn
